instance_name,experiment,config,time_limit_seconds,status,obj,best_bound,gap_pct,milp_time,n_nodes,deadline,n_ops,n_dfa_states,n_dfa_arcs
synth_01,WCT,NOPSOS+DFA,300,solved,135.0,135.0,0.0,0.265625,1,,7,8,38
synth_01,WCT,NOPSOS-noSBS-symON,300,solved,135.0,135.0,0.0,0.28125,443,,7,8,38
synth_01,WCT,NOPSOS-noSBS-symOFF,300,solved,135.0,135.0,0.0,0.3125,443,,7,8,38
synth_01,FEAS,NOPSOS+DFA,300,infeasible,,,,0.046875,0,9.5,7,8,38
synth_01,FEAS,NOPSOS-noSBS-symON,300,infeasible,,,,0.125,356,9.5,7,8,38
synth_01,FEAS,NOPSOS-noSBS-symOFF,300,infeasible,,,,0.15625,356,9.5,7,8,38
synth_02,WCT,NOPSOS+DFA,300,solved,271.0,271.0,0.0,0.625,361,,8,9,50
synth_02,WCT,NOPSOS-noSBS-symON,300,solved,271.0,271.0,0.0,1.65625,3508,,8,9,50
synth_02,WCT,NOPSOS-noSBS-symOFF,300,solved,271.0,271.0,0.0,1.65625,3508,,8,9,50
synth_02,FEAS,NOPSOS+DFA,300,infeasible,,,,0.3125,253,22.5,8,9,50
synth_02,FEAS,NOPSOS-noSBS-symON,300,infeasible,,,,0.859375,3591,22.5,8,9,50
synth_02,FEAS,NOPSOS-noSBS-symOFF,300,infeasible,,,,0.828125,3591,22.5,8,9,50
synth_03,WCT,NOPSOS+DFA,300,solved,563.0,563.0,0.0,1.265625,546,,8,9,50
synth_03,WCT,NOPSOS-noSBS-symON,300,solved,563.0,563.0,0.0,2.203125,5267,,8,9,50
synth_03,WCT,NOPSOS-noSBS-symOFF,300,solved,563.0,563.0,0.0,2.125,5267,,8,9,50
synth_03,FEAS,NOPSOS+DFA,300,infeasible,,,,0.3125,249,22.5,8,9,50
synth_03,FEAS,NOPSOS-noSBS-symON,300,infeasible,,,,0.65625,2502,22.5,8,9,50
synth_03,FEAS,NOPSOS-noSBS-symOFF,300,infeasible,,,,0.609375,2502,22.5,8,9,50
synth_04,WCT,NOPSOS+DFA,300,solved,284.0,284.0,0.0,0.953125,137,,8,9,50
synth_04,WCT,NOPSOS-noSBS-symON,300,solved,284.0,284.0,0.0,0.921875,1600,,8,9,50
synth_04,WCT,NOPSOS-noSBS-symOFF,300,solved,284.0,284.0,0.0,0.90625,1600,,8,9,50
synth_04,FEAS,NOPSOS+DFA,300,infeasible,,,,0.40625,482,25.5,8,9,50
synth_04,FEAS,NOPSOS-noSBS-symON,300,infeasible,,,,0.90625,4197,25.5,8,9,50
synth_04,FEAS,NOPSOS-noSBS-symOFF,300,infeasible,,,,0.90625,4197,25.5,8,9,50
synth_05,WCT,NOPSOS+DFA,300,solved,448.0,448.0,0.0,20.28125,3080,,11,12,86
synth_05,WCT,NOPSOS-noSBS-symON,300,solved,447.9999913171322,447.9999913171,0.0,125.296875,240872,,11,12,86
synth_05,WCT,NOPSOS-noSBS-symOFF,300,solved,447.9999913171322,447.9999913171,0.0,128.1875,240872,,11,12,86
synth_05,FEAS,NOPSOS+DFA,300,infeasible,,,,3.640625,2395,22.5,11,12,86
synth_05,FEAS,NOPSOS-noSBS-symON,300,infeasible,,,,8.15625,6683,22.5,11,12,86
synth_05,FEAS,NOPSOS-noSBS-symOFF,300,infeasible,,,,8.0625,6683,22.5,11,12,86
synth_06,WCT,NOPSOS+DFA,300,limit,1240.0,839.3795662302,32.3081,299.703125,20666,,13,14,122
synth_06,WCT,NOPSOS-noSBS-symON,300,limit,1240.0,687.8888888889,44.5251,299.59375,229139,,13,14,122
synth_06,WCT,NOPSOS-noSBS-symOFF,300,limit,1240.0,688.0,44.5161,299.625,231093,,13,14,122
synth_06,FEAS,NOPSOS+DFA,300,infeasible,,,,34.140625,7116,26.5,13,14,122
synth_06,FEAS,NOPSOS-noSBS-symON,300,limit,,,,299.578125,135421,26.5,13,14,122
synth_06,FEAS,NOPSOS-noSBS-symOFF,300,limit,,,,299.421875,134760,26.5,13,14,122
synth_07,WCT,NOPSOS+DFA,300,solved,443.0,443.0,0.0,24.734375,6198,,11,12,86
synth_07,WCT,NOPSOS-noSBS-symON,300,solved,442.9999808370051,442.999980837,0.0,87.296875,158613,,11,12,86
synth_07,WCT,NOPSOS-noSBS-symOFF,300,solved,442.9999808370051,442.999980837,0.0,86.625,158613,,11,12,86
synth_07,FEAS,NOPSOS+DFA,300,infeasible,,,,8.296875,3979,17.5,11,12,86
synth_07,FEAS,NOPSOS-noSBS-symON,300,infeasible,,,,20.921875,19227,17.5,11,12,86
synth_07,FEAS,NOPSOS-noSBS-symOFF,300,infeasible,,,,20.734375,19227,17.5,11,12,86
synth_08,WCT,NOPSOS+DFA,300,solved,614.0,614.0,0.0,219.546875,22563,,12,13,104
synth_08,WCT,NOPSOS-noSBS-symON,300,limit,613.9999848120589,501.0,18.4039,299.421875,369386,,12,13,104
synth_08,WCT,NOPSOS-noSBS-symOFF,300,limit,613.9999848120589,501.0000000001,18.4039,299.625,370520,,12,13,104
synth_08,FEAS,NOPSOS+DFA,300,infeasible,,,,21.15625,3080,25.5,12,13,104
synth_08,FEAS,NOPSOS-noSBS-symON,300,limit,,,,299.59375,210099,25.5,12,13,104
synth_08,FEAS,NOPSOS-noSBS-symOFF,300,limit,,,,299.515625,210385,25.5,12,13,104
synth_09,WCT,NOPSOS+DFA,300,solved,804.0,804.0,0.0,37.71875,6297,,12,13,99
