instance,n_ops,n_dfa_states,n_dfa_arcs,n_seq_no_sbs,n_seq_dfa,reduction
crude_fav_01,12,13,104,479001600,2371392,202.0
crude_fav_02,12,13,100,479001600,959172,499.4
crude_fav_03,17,18,195,355687428096000,20908358976,17011.7
crude_fav_04,16,17,170,20922789888000,1602832080,13053.6
crude_fav_05,15,16,149,1307674368000,119169408,10973.2
crude_fav_06,18,19,207,6402373705728000,30724295040,208381.5
crude_fav_07,20,21,252,2432902008176640000,920167770720,2643976.6
crude_fav_08,20,21,254,2432902008176640000,1891284943200,1286375.2
crude_fav_09,23,24,331,,,
crude_fav_10,24,25,357,,,
