instance_name,config,objective,status,obj,best_bound,gap_pct,time,n_nodes,deadline,n_ops,n_dfa_states,n_dfa_arcs
crude_fav_01,dfa,wct,limit,1052.0,631.8169642857,39.9414,299.046875,116515,,12,13,104
crude_fav_01,nosbs-off,wct,limit,1052.0,608.6666666667,42.142,299.515625,428684,,12,13,104
crude_fav_02,dfa,wct,solved,498.0,498.0,0.0,141.921875,37148,,12,13,100
crude_fav_02,nosbs-off,wct,limit,497.99999700000006,419.6625,15.7304,299.71875,508697,,12,13,100
crude_fav_03,dfa,wct,limit,1171.0,530.0000000159,54.7395,299.96875,10202,,17,18,195
crude_fav_03,nosbs-off,wct,limit,1167.9999860625583,530.0000000002,54.6233,299.703125,91934,,17,18,195
crude_fav_04,dfa,wct,limit,1302.0,679.0000000108,47.8495,299.796875,15234,,16,17,170
crude_fav_04,nosbs-off,wct,limit,1302.0,679.0,47.8495,299.640625,144795,,16,17,170
crude_fav_05,dfa,wct,limit,996.0,542.0156596833,45.5808,299.484375,24072,,15,16,149
crude_fav_05,nosbs-off,wct,limit,995.9999938799889,541.0000000018,45.6827,299.390625,184088,,15,16,149
crude_fav_06,dfa,wct,limit,975.0,511.0000000743,47.5897,299.671875,10202,,18,19,207
crude_fav_06,nosbs-off,wct,limit,971.9999784000036,511.0,47.428,299.703125,105065,,18,19,207
crude_fav_07,dfa,wct,limit,1108.0,555.0000000133,49.9097,299.703125,4594,,20,21,252
crude_fav_07,nosbs-off,wct,limit,1076.0,555.0000000044,48.4201,299.65625,63796,,20,21,252
crude_fav_08,dfa,wct,limit,1008.9998465398319,536.0000000233,46.8781,299.765625,4155,,20,21,254
crude_fav_08,nosbs-off,wct,limit,949.9999937379519,536.0000000004,43.5789,299.84375,52814,,20,21,254
crude_fav_09,dfa,wct,limit,1493.0,714.0000000167,52.1768,299.71875,816,,23,24,331
crude_fav_09,nosbs-off,wct,limit,1441.0,714.0000000043,50.4511,299.78125,29209,,23,24,331
crude_fav_10,dfa,wct,limit,1877.0,832.0000000405,55.673899999999996,299.84375,676,,24,25,357
crude_fav_10,nosbs-off,wct,limit,1823.9999912857159,832.0000000002,54.386,299.703125,20653,,24,25,357
