instance,n_ops,n_slots,dfa_states,dfa_arcs,dfa_sbs_vars,re_states,re_arcs,re_sbs_vars,state_ratio,var_ratio
synth_01,7,7,9,46,322,13,43,301,1.44,0.93
synth_02,8,8,10,59,472,16,58,464,1.6,0.98
synth_03,8,8,10,59,472,16,58,464,1.6,0.98
synth_04,8,8,10,59,472,16,58,464,1.6,0.98
synth_05,11,11,13,98,1078,35,193,2123,2.69,1.97
synth_06,13,13,15,136,1768,47,286,3718,3.13,2.1
synth_07,11,11,13,98,1078,35,193,2123,2.69,1.97
synth_08,12,12,14,117,1404,41,240,2880,2.93,2.05
synth_09,12,11,14,112,1232,23,77,847,1.64,0.69
synth_10,11,10,13,95,950,20,62,620,1.54,0.65
synth_11,11,10,13,95,950,20,62,620,1.54,0.65
synth_12,16,14,18,186,2604,80,383,5362,4.44,2.06
synth_13,14,14,16,144,2016,46,228,3192,2.88,1.58
synth_14,15,15,17,164,2460,52,281,4215,3.06,1.71
synth_15,15,15,17,166,2490,38,195,2925,2.24,1.17
synth_16,15,14,17,165,2310,61,288,4032,3.59,1.75
synth_17,15,15,17,165,2475,45,216,3240,2.65,1.31
synth_18,14,14,16,144,2016,46,235,3290,2.88,1.63
synth_19,15,14,17,166,2324,38,201,2814,2.24,1.21
synth_20,20,19,22,279,5301,136,1074,20406,6.18,3.85
synth_21,17,16,19,203,3248,114,692,11072,6.0,3.41
synth_22,18,18,20,230,4140,73,560,10080,3.65,2.43
synth_23,21,19,23,302,5738,101,472,8968,4.39,1.56
synth_24,22,21,24,333,6993,91,494,10374,3.79,1.48
synth_25,19,18,21,249,4482,43,182,3276,2.05,0.73
synth_26,17,16,19,201,3216,58,272,4352,3.05,1.35
synth_27,26,24,28,449,10776,149,1146,27504,5.32,2.55
synth_28,24,22,26,382,8404,247,1657,36454,9.5,4.34
synth_29,24,22,26,383,8426,119,856,18832,4.58,2.23
synth_30,23,22,25,356,7832,69,348,7656,2.76,0.98
