instance_name,config,objective,status,obj,best_bound,gap_pct,time,n_nodes,deadline,n_ops,n_dfa_states,n_dfa_arcs
synth_01,dfa,feasibility,infeasible,0.0,,,0.03125,0,9.5,7,8,38
synth_01,nosbs-auto,feasibility,infeasible,0.0,,,0.171875,477,9.5,7,8,38
synth_01,nosbs-off,feasibility,infeasible,0.0,,,0.203125,477,9.5,7,8,38
synth_02,dfa,feasibility,infeasible,0.0,,,0.328125,232,22.5,8,9,50
synth_02,nosbs-auto,feasibility,infeasible,0.0,,,0.9375,3734,22.5,8,9,50
synth_02,nosbs-off,feasibility,infeasible,0.0,,,0.890625,3734,22.5,8,9,50
synth_03,dfa,feasibility,infeasible,0.0,,,0.375,267,22.5,8,9,50
synth_03,nosbs-auto,feasibility,infeasible,0.0,,,0.875,3202,22.5,8,9,50
synth_03,nosbs-off,feasibility,infeasible,0.0,,,0.90625,3202,22.5,8,9,50
synth_04,dfa,feasibility,infeasible,0.0,,,0.4375,434,25.5,8,9,50
synth_04,nosbs-auto,feasibility,infeasible,0.0,,,1.171875,3094,25.5,8,9,50
synth_04,nosbs-off,feasibility,infeasible,0.0,,,1.1875,3094,25.5,8,9,50
synth_05,dfa,feasibility,infeasible,0.0,,,3.71875,2341,22.5,11,12,86
synth_05,nosbs-auto,feasibility,infeasible,0.0,,,25.5,17927,22.5,11,12,86
synth_05,nosbs-off,feasibility,infeasible,0.0,,,24.90625,17927,22.5,11,12,86
synth_06,dfa,feasibility,infeasible,0.0,,,37.703125,6385,26.5,13,14,122
synth_06,nosbs-auto,feasibility,limit,0.0,,,598.703125,229347,26.5,13,14,122
synth_06,nosbs-off,feasibility,limit,0.0,,,598.71875,227748,26.5,13,14,122
synth_07,dfa,feasibility,infeasible,0.0,,,9.8125,4329,17.5,11,12,86
synth_07,nosbs-auto,feasibility,infeasible,0.0,,,8.296875,7028,17.5,11,12,86
synth_07,nosbs-off,feasibility,infeasible,0.0,,,8.09375,7028,17.5,11,12,86
synth_08,dfa,feasibility,infeasible,0.0,,,27.609375,5105,25.5,12,13,104
synth_08,nosbs-auto,feasibility,infeasible,0.0,,,518.625,282357,25.5,12,13,104
synth_08,nosbs-off,feasibility,infeasible,0.0,,,522.140625,282357,25.5,12,13,104
synth_09,dfa,feasibility,infeasible,0.0,,,12.390625,5469,24.5,12,13,99
synth_09,nosbs-auto,feasibility,infeasible,0.0,,,4.015625,3056,24.5,12,13,99
synth_09,nosbs-off,feasibility,infeasible,0.0,,,4.75,3056,24.5,12,13,99
synth_10,dfa,feasibility,infeasible,0.0,,,4.671875,3768,25.5,11,12,83
synth_10,nosbs-auto,feasibility,infeasible,0.0,,,4.390625,5488,25.5,11,12,83
synth_10,nosbs-off,feasibility,infeasible,0.0,,,4.46875,5488,25.5,11,12,83
synth_11,dfa,feasibility,infeasible,0.0,,,1.34375,683,19.5,11,12,83
synth_11,nosbs-auto,feasibility,infeasible,0.0,,,16.921875,15050,19.5,11,12,83
synth_11,nosbs-off,feasibility,infeasible,0.0,,,16.921875,15050,19.5,11,12,83
synth_13,dfa,feasibility,infeasible,0.0,,,0.265625,1,23.5,14,15,129
