instance_name,config,objective,status,obj,best_bound,gap_pct,time,n_nodes,n_ops,n_dfa_states,n_dfa_arcs
jobshop_01,classical,jobshop_makespan,solved,28.0,28.0,0.0,0.03125,1,4,,
jobshop_02,classical,jobshop_makespan,solved,44.0,44.0,0.0,0.046875,1,6,,
jobshop_03,classical,jobshop_makespan,solved,56.0,55.9999999943,0.0,0.015625,1,9,,
jobshop_04,classical,jobshop_makespan,solved,63.0,63.0,0.0,0.078125,1,12,,
jobshop_05,classical,jobshop_makespan,solved,60.0,59.99999999999,0.0,0.046875,1,16,,
jobshop_06,classical,jobshop_makespan,solved,74.0,74.0,0.0,0.03125,1,20,,
jobshop_07,classical,jobshop_makespan,solved,80.0,80.0,0.0,0.046875,1,25,,
jobshop_08,classical,jobshop_makespan,solved,78.0,77.99999999998,0.0,0.03125,1,30,,
jobshop_09,classical,jobshop_makespan,solved,104.9999999893699,104.9999999894,0.0,0.125,1,36,,
jobshop_10,classical,jobshop_makespan,solved,114.999999988363,114.9999999884,0.0,0.203125,147,42,,
jobshop_fav_01,classical,jobshop_makespan,solved,8.0,8.0,0.0,0.0625,0,9,,
jobshop_fav_02,classical,jobshop_makespan,solved,14.0,14.0,0.0,0.03125,1,12,,
jobshop_fav_03,classical,jobshop_makespan,solved,12.0,12.0,0.0,0.03125,1,12,,
jobshop_fav_04,classical,jobshop_makespan,solved,15.0,14.9999999984,0.0,0.0625,1,16,,
jobshop_fav_05,classical,jobshop_makespan,solved,16.0,16.0,0.0,0.03125,1,15,,
jobshop_fav_06,classical,jobshop_makespan,solved,13.0,13.0,0.0,0.0625,28,15,,
jobshop_fav_07,classical,jobshop_makespan,solved,18.99999999799866,18.999999998,0.0,0.03125,1,20,,
jobshop_fav_08,classical,jobshop_makespan,solved,17.0,16.9999999982,0.0,0.109375,1,20,,
jobshop_fav_09,classical,jobshop_makespan,solved,18.0,18.0,0.0,0.046875,1,25,,
jobshop_fav_10,classical,jobshop_makespan,solved,19.0,19.0,0.0,0.03125,1,24,,
