instance_name,config,objective,status,obj,best_bound,gap_pct,time,n_nodes,n_ops,n_dfa_states,n_dfa_arcs
jobshop_01,classical,jobshop_wct,solved,420.0,420.0,0.0,0.015625,1,4,,
jobshop_02,classical,jobshop_wct,solved,819.0,819.0,0.0,0.015625,1,6,,
jobshop_03,classical,jobshop_wct,solved,667.0,667.0,0.0,0.015625,1,9,,
jobshop_04,classical,jobshop_wct,solved,1163.0,1163.0,0.0,0.03125,1,12,,
jobshop_05,classical,jobshop_wct,solved,1383.0,1383.0,0.0,0.078125,17,16,,
jobshop_06,classical,jobshop_wct,solved,1479.0,1479.0,0.0,0.078125,134,20,,
jobshop_07,classical,jobshop_wct,solved,1953.0,1953.0,0.0,0.125,88,25,,
jobshop_08,classical,jobshop_wct,solved,1595.0,1595.0,0.0,0.0625,1,30,,
jobshop_09,classical,jobshop_wct,solved,2890.0,2890.0,0.0,0.1875,178,36,,
jobshop_10,classical,jobshop_wct,solved,4760.0,4760.0,0.0,2.84375,4037,42,,
jobshop_fav_01,classical,jobshop_wct,solved,176.0,176.0,0.0,0.046875,0,9,,
jobshop_fav_02,classical,jobshop_wct,solved,137.0,137.0,0.0,0.0625,1,12,,
jobshop_fav_03,classical,jobshop_wct,solved,90.0,90.0,0.0,0.046875,1,12,,
jobshop_fav_04,classical,jobshop_wct,solved,211.0,211.0,0.0,0.078125,1,16,,
jobshop_fav_05,classical,jobshop_wct,solved,246.0,246.0,0.0,0.109375,1,15,,
jobshop_fav_06,classical,jobshop_wct,solved,238.0,238.0,0.0,0.078125,30,15,,
jobshop_fav_07,classical,jobshop_wct,solved,369.0,369.0,0.0,0.09375,1,20,,
jobshop_fav_08,classical,jobshop_wct,solved,446.0,446.0,0.0,0.078125,92,20,,
jobshop_fav_09,classical,jobshop_wct,solved,421.0,421.0,0.0,0.078125,55,25,,
jobshop_fav_10,classical,jobshop_wct,solved,486.0,486.0,0.0,0.0625,32,24,,
