instance_name,config,objective,status,obj,best_bound,gap_pct,time,n_nodes,n_ops,n_dfa_states,n_dfa_arcs
jobshop_01,dfa,jobshop,solved,28.0,28.0,0.0,0.03125,1,4,5,12
jobshop_01,nosbs-auto,jobshop,solved,28.0,28.0,0.0,0.03125,1,4,5,12
jobshop_01,nosbs-off,jobshop,solved,28.0,28.0,0.0,0.015625,1,4,5,12
jobshop_02,dfa,jobshop,solved,44.0,44.0,0.0,0.09375,27,6,7,27
jobshop_02,nosbs-auto,jobshop,solved,44.0,44.0,0.0,0.078125,79,6,7,27
jobshop_02,nosbs-off,jobshop,solved,44.0,44.0,0.0,0.078125,79,6,7,27
jobshop_03,dfa,jobshop,solved,56.0,56.0,0.0,0.234375,119,9,10,54
jobshop_03,nosbs-auto,jobshop,solved,55.99999999429879,55.9999999943,0.0,0.328125,908,9,10,54
jobshop_03,nosbs-off,jobshop,solved,55.99999999429879,55.9999999943,0.0,0.296875,908,9,10,54
jobshop_04,dfa,jobshop,solved,63.0,63.0,0.0,5.015625,3768,12,13,96
jobshop_04,nosbs-auto,jobshop,solved,63.0,63.0,0.0,0.109375,1,12,13,96
jobshop_04,nosbs-off,jobshop,solved,63.0,63.0,0.0,0.109375,1,12,13,96
jobshop_05,dfa,jobshop,solved,59.99999999389995,59.9999999939,0.0,35.609375,2485,16,17,160
jobshop_05,nosbs-auto,jobshop,solved,59.9999994999998,59.99998599999,0.0,217.375,109754,16,17,160
jobshop_05,nosbs-off,jobshop,solved,59.99999949999975,59.99998599999,0.0,211.8125,100366,16,17,160
jobshop_06,dfa,jobshop,solved,73.9999999849992,73.999999985,0.0,546.546875,8516,20,21,250
jobshop_06,nosbs-auto,jobshop,limit,73.99920056320238,64.0,13.512599999999999,599.1875,50309,20,21,250
jobshop_06,nosbs-off,jobshop,limit,73.99998999249601,64.0,13.5135,599.109375,50640,20,21,250
