instance_name,config,objective,status,obj,best_bound,gap_pct,time,n_nodes,n_ops,n_dfa_states,n_dfa_arcs
jobshop_01,dfa,jobshop,solved,28.0,28.0,0.0,0.015625,1,4,5,12
jobshop_01,nosbs-auto,jobshop,solved,27.9999999971,27.9999999971,0.0,0.03125,1,4,5,12
jobshop_01,nosbs-off,jobshop,solved,27.9999999971,27.9999999971,0.0,0.03125,1,4,5,12
jobshop_02,dfa,jobshop,solved,43.99999999549956,43.9999999955,0.0,0.078125,1,6,7,27
jobshop_02,nosbs-auto,jobshop,solved,44.0,44.0,0.0,0.0625,57,6,7,27
jobshop_02,nosbs-off,jobshop,solved,44.0,44.0,0.0,0.078125,57,6,7,27
jobshop_03,dfa,jobshop,solved,56.0,56.0,0.0,0.265625,66,9,10,54
jobshop_03,nosbs-auto,jobshop,solved,55.99999999429679,55.9999999943,0.0,0.34375,961,9,10,54
jobshop_03,nosbs-off,jobshop,solved,55.99999999429679,55.9999999943,0.0,0.34375,961,9,10,54
jobshop_04,dfa,jobshop,solved,62.99999999359997,62.9999999936,0.0,12.109375,3077,12,13,96
jobshop_04,nosbs-auto,jobshop,solved,62.99999999359524,62.9999999936,0.0,7.015625,2609,12,13,96
jobshop_04,nosbs-off,jobshop,solved,62.99999999359524,62.9999999936,0.0,7.140625,2609,12,13,96
jobshop_05,dfa,jobshop,solved,60.0,60.0,0.0,39.90625,1758,16,17,160
jobshop_05,nosbs-auto,jobshop,solved,59.99999902221954,59.99999902222,0.0,380.625,120465,16,17,160
jobshop_05,nosbs-off,jobshop,solved,59.99999902222074,59.99999902222,0.0,263.5,80555,16,17,160
jobshop_06,dfa,jobshop,solved,73.99999999249998,73.9999999925,0.0,243.078125,3116,20,21,250
jobshop_06,nosbs-auto,jobshop,limit,73.9999999549982,71.0,4.0541,599.140625,59153,20,21,250
jobshop_06,nosbs-off,jobshop,limit,73.9997569779643,71.0,4.0537,598.96875,45786,20,21,250
jobshop_07,dfa,jobshop,limit,79.99999999189903,62.0000000001,22.5,599.109375,2987,25,26,375
jobshop_07,nosbs-auto,jobshop,limit,80.0,62.0,22.5,599.328125,17843,25,26,375
jobshop_07,nosbs-off,jobshop,limit,79.99997301216473,62.0,22.5,599.078125,16559,25,26,375
jobshop_08,dfa,jobshop,limit,78.99999999199997,68.00000000956,13.924100000000001,599.234375,1829,30,31,540
jobshop_08,nosbs-auto,jobshop,limit,77.99999999209999,68.0,12.8205,599.109375,7869,30,31,540
jobshop_08,nosbs-off,jobshop,limit,77.99999996823472,68.0,12.8205,598.640625,4540,30,31,540
jobshop_09,dfa,jobshop,limit,116.9999999881998,86.0,26.4957,597.25,897,36,37,756
jobshop_09,nosbs-auto,jobshop,limit,113.0,86.0,23.8938,597.125,996,36,37,756
jobshop_09,nosbs-off,jobshop,limit,104.9999991999999,86.0,18.0952,597.125,1354,36,37,756
jobshop_10,dfa,jobshop,limit,138.999999986,84.00000000072,39.5683,597.703125,1,42,43,1029
jobshop_10,nosbs-auto,jobshop,limit,123.9999999875,84.0,32.2581,599.09375,606,42,43,1029
jobshop_10,nosbs-off,jobshop,limit,123.9999999875,84.0,32.2581,599.265625,610,42,43,1029
