instance_name,config,objective,status,obj,best_bound,gap_pct,time,n_nodes,n_ops,n_dfa_states,n_dfa_arcs
jobshop_fav_01,dfa,jobshop_makespan,solved,8.0,8.0,0.0,0.203125,53,9,10,54
jobshop_fav_01,nosbs-off,jobshop_makespan,solved,8.0,8.0,0.0,0.046875,1,9,10,54
jobshop_fav_02,dfa,jobshop_makespan,solved,14.0,14.0,0.0,0.328125,1,12,13,90
jobshop_fav_02,nosbs-off,jobshop_makespan,solved,13.99999909090902,13.99999909091,0.0,3.515625,3968,12,13,90
jobshop_fav_03,dfa,jobshop_makespan,solved,11.99999999869999,11.9999999987,0.0,4.28125,2332,12,13,96
jobshop_fav_03,nosbs-off,jobshop_makespan,solved,11.99999999739723,11.9999999974,0.0,28.703125,13964,12,13,96
jobshop_fav_04,dfa,jobshop_makespan,solved,14.99999999839999,14.9999999984,0.0,39.625,2212,16,17,160
jobshop_fav_04,nosbs-off,jobshop_makespan,limit,14.9999990893061,12.0,20.0,598.625,200863,16,17,160
jobshop_fav_05,dfa,jobshop_makespan,solved,15.9999999983,15.9999999983,0.0,1.234375,358,15,16,135
jobshop_fav_05,nosbs-off,jobshop_makespan,solved,15.99999987798329,15.99999987798,0.0,11.75,8049,15,16,135
jobshop_fav_06,dfa,jobshop_makespan,solved,12.99999984927952,12.9999975007,0.0,135.96875,9540,15,16,150
jobshop_fav_06,nosbs-off,jobshop_makespan,limit,12.99999922936922,10.0,23.0769,598.296875,173437,15,16,150
jobshop_fav_07,dfa,jobshop_makespan,solved,18.99999999200251,18.999999992,0.0,291.84375,6411,20,21,240
jobshop_fav_07,nosbs-off,jobshop_makespan,limit,18.99999801032325,14.0,26.3158,599.328125,70135,20,21,240
jobshop_fav_08,dfa,jobshop_makespan,limit,16.9999999982,12.0,29.4118,599.515625,9795,20,21,250
jobshop_fav_08,nosbs-off,jobshop_makespan,limit,16.99998999820891,12.0,29.411700000000003,599.265625,51395,20,21,250
jobshop_fav_09,dfa,jobshop_makespan,limit,17.99999999809999,13.0000000005,27.777799999999996,599.3125,2925,25,26,375
jobshop_fav_09,nosbs-off,jobshop_makespan,limit,17.99999949999997,13.0,27.777799999999996,599.40625,16710,25,26,375
jobshop_fav_10,dfa,jobshop_makespan,limit,18.99999999799998,14.00000000175,26.3158,599.375,4437,24,25,336
jobshop_fav_10,nosbs-off,jobshop_makespan,limit,18.99999999398128,14.0,26.3158,599.203125,28343,24,25,336
