instance_name,config,objective,status,obj,best_bound,gap_pct,time,n_nodes,n_ops,n_dfa_states,n_dfa_arcs
jobshop_01,dfa,jobshop,solved,28.0,28.0,0.0,0.03125,0,4,5,12
jobshop_01,nosbs-auto,jobshop,solved,28.0,28.0,0.0,0.03125,1,4,5,12
jobshop_01,nosbs-off,jobshop,solved,28.0,28.0,0.0,0,1,4,5,12
jobshop_02,dfa,jobshop,solved,44.0,44.0,0.0,0.125,18,6,7,27
jobshop_02,nosbs-auto,jobshop,solved,43.99999999549999,43.9999999955,0.0,0.078125,74,6,7,27
jobshop_02,nosbs-off,jobshop,solved,43.99999999549999,43.9999999955,0.0,0.078125,74,6,7,27
jobshop_03,dfa,jobshop,solved,56.0,55.9999999943,0.0,0.0625,1,9,10,54
jobshop_03,nosbs-auto,jobshop,solved,56.0,56.0,0.0,0.265625,731,9,10,54
jobshop_03,nosbs-off,jobshop,solved,56.0,56.0,0.0,0.28125,731,9,10,54
jobshop_04,dfa,jobshop,solved,62.99999999359999,62.9999999936,0.0,9.3125,2732,12,13,96
jobshop_04,nosbs-auto,jobshop,solved,62.99990000723383,62.99990000723,0.0,9.296875,3264,12,13,96
jobshop_04,nosbs-off,jobshop,solved,62.99990000723383,62.99990000723,0.0,9.40625,3264,12,13,96
jobshop_05,dfa,jobshop,solved,59.99999999389998,59.9999999939,0.0,27.984375,1988,16,17,160
jobshop_05,nosbs-auto,jobshop,limit,59.99999901587299,59.0,1.6667,599.171875,226857,16,17,160
jobshop_05,nosbs-off,jobshop,limit,59.99999901587299,59.0,1.6667,599.0625,226959,16,17,160
jobshop_06,dfa,jobshop,solved,73.99999998499797,73.999999985,0.0,463.171875,7819,20,21,250
jobshop_06,nosbs-auto,jobshop,limit,73.99990000019253,71.0,4.0539,599.203125,47055,20,21,250
jobshop_06,nosbs-off,jobshop,solved,73.99990000786876,73.99990000787,0.0,500.484375,38863,20,21,250
