instance_name,config,objective,status,obj,best_bound,gap_pct,time,n_nodes,n_ops,n_dfa_states,n_dfa_arcs
jobshop_01,dfa,jobshop,solved,28.0,28.0,0.0,0.03125,0,4,5,12
jobshop_01,nosbs-auto,jobshop,solved,28.0,28.0,0.0,0.046875,1,4,5,12
jobshop_01,nosbs-off,jobshop,solved,28.0,28.0,0.0,0.078125,1,4,5,12
jobshop_02,dfa,jobshop,solved,44.0,44.0,0.0,0.0625,18,6,7,27
jobshop_02,nosbs-auto,jobshop,solved,43.99999999549999,43.9999999955,0.0,0.078125,74,6,7,27
jobshop_02,nosbs-off,jobshop,solved,43.99999999549999,43.9999999955,0.0,0.078125,74,6,7,27
jobshop_03,dfa,jobshop,solved,56.0,55.9999999943,0.0,0.109375,1,9,10,54
jobshop_03,nosbs-auto,jobshop,solved,56.0,56.0,0.0,0.28125,731,9,10,54
jobshop_03,nosbs-off,jobshop,solved,56.0,56.0,0.0,0.296875,731,9,10,54
jobshop_04,dfa,jobshop,solved,62.99999999359999,62.9999999936,0.0,9.46875,2732,12,13,96
jobshop_04,nosbs-auto,jobshop,solved,62.99990000723383,62.99990000723,0.0,9.25,3264,12,13,96
jobshop_04,nosbs-off,jobshop,solved,62.99990000723383,62.99990000723,0.0,9.515625,3264,12,13,96
jobshop_05,dfa,jobshop,solved,59.99999999389998,59.9999999939,0.0,27.953125,1988,16,17,160
jobshop_05,nosbs-auto,jobshop,limit,59.99999901587299,59.0,1.6667,599.09375,227291,16,17,160
jobshop_05,nosbs-off,jobshop,limit,59.99999901587299,59.0,1.6667,598.90625,227353,16,17,160
jobshop_06,dfa,jobshop,solved,73.99999998499797,73.999999985,0.0,461.390625,7819,20,21,250
jobshop_06,nosbs-auto,jobshop,limit,73.99990000019253,71.0,4.0539,599.140625,47366,20,21,250
jobshop_06,nosbs-off,jobshop,solved,73.99990000786876,73.99990000787,0.0,498.453125,38863,20,21,250
jobshop_07,dfa,jobshop,limit,79.99999999189998,62.00000000233,22.5,599.359375,1833,25,26,375
jobshop_07,nosbs-auto,jobshop,limit,79.99998200000101,62.0,22.5,599.265625,18319,25,26,375
jobshop_07,nosbs-off,jobshop,limit,79.99999903333332,62.0,22.5,599.140625,13873,25,26,375
jobshop_08,dfa,jobshop,limit,81.99999999169998,68.00000000743,17.0732,599.171875,1478,30,31,540
jobshop_08,nosbs-auto,jobshop,limit,77.99999999209994,68.0,12.8205,599.25,7086,30,31,540
jobshop_08,nosbs-off,jobshop,limit,77.99999975730944,68.0,12.8205,599.296875,8018,30,31,540
jobshop_09,dfa,jobshop,limit,116.9999999881999,86.00000000001,26.4957,599.15625,1102,36,37,756
jobshop_09,nosbs-auto,jobshop,limit,104.9999999784155,86.0,18.0952,599.453125,2491,36,37,756
jobshop_09,nosbs-off,jobshop,limit,104.9999000114505,86.0,18.0952,599.21875,2205,36,37,756
jobshop_10,dfa,jobshop,limit,131.9999999867,84.0,36.3636,599.5,54,42,43,1029
jobshop_10,nosbs-auto,jobshop,limit,123.9999999875,84.0,32.2581,599.53125,697,42,43,1029
jobshop_10,nosbs-off,jobshop,limit,123.9999999875,84.0,32.2581,599.53125,621,42,43,1029
