instance_name,config,objective,status,obj,best_bound,gap_pct,time,n_nodes,n_ops,n_dfa_states,n_dfa_arcs
jobshop_01,dfa,jobshop,solved,28.0,28.0,0.0,0.03125,1,4,5,12
jobshop_01,nosbs-auto,jobshop,solved,28.0,28.0,0.0,0.015625,1,4,5,12
jobshop_01,nosbs-off,jobshop,solved,28.0,28.0,0.0,0.015625,1,4,5,12
jobshop_02,dfa,jobshop,solved,43.99999999549947,43.9999999955,0.0,0.0625,1,6,7,27
jobshop_02,nosbs-auto,jobshop,solved,44.0,44.0,0.0,0.078125,86,6,7,27
jobshop_02,nosbs-off,jobshop,solved,44.0,44.0,0.0,0.09375,86,6,7,27
jobshop_03,dfa,jobshop,solved,56.0,56.0,0.0,0.171875,59,9,10,54
jobshop_03,nosbs-auto,jobshop,solved,55.99999999429982,55.9999999943,0.0,0.328125,754,9,10,54
jobshop_03,nosbs-off,jobshop,solved,55.99999999429982,55.9999999943,0.0,0.3125,754,9,10,54
jobshop_04,dfa,jobshop,solved,62.99999999359999,62.9999999936,0.0,9.75,1857,12,13,96
jobshop_04,nosbs-auto,jobshop,solved,62.99999999359976,62.9999999936,0.0,10.03125,3752,12,13,96
jobshop_04,nosbs-off,jobshop,solved,62.99999999359976,62.9999999936,0.0,10,3752,12,13,96
jobshop_05,dfa,jobshop,solved,59.99999999389995,59.9999999939,0.0,25.9375,1436,16,17,160
jobshop_05,nosbs-auto,jobshop,solved,59.99996033288264,59.99996033288,0.0,392.453125,127539,16,17,160
jobshop_05,nosbs-off,jobshop,solved,59.99996033288264,59.99996033288,0.0,392.3125,127539,16,17,160
jobshop_06,dfa,jobshop,solved,73.99999999249962,73.9999999925,0.0,304,4524,20,21,250
jobshop_06,nosbs-auto,jobshop,limit,73.99995353764402,63.0,14.8648,599.265625,47541,20,21,250
jobshop_06,nosbs-off,jobshop,limit,73.99990000840447,71.0,4.0539,599.3125,62324,20,21,250
