instance_name,config,objective,status,obj,best_bound,gap_pct,time,n_nodes,n_ops,n_dfa_states,n_dfa_arcs
jobshop_01,dfa,jobshop_wct,solved,420.0,420.0,0.0,0.03125,1,4,5,12
jobshop_01,nosbs-auto,jobshop_wct,solved,420.0,420.0,0.0,0.03125,1,4,5,12
jobshop_01,nosbs-off,jobshop_wct,solved,420.0,420.0,0.0,0.03125,1,4,5,12
jobshop_02,dfa,jobshop_wct,solved,819.0,819.0,0.0,0.109375,25,6,7,27
jobshop_02,nosbs-auto,jobshop_wct,solved,819.0,819.0,0.0,0.09375,98,6,7,27
jobshop_02,nosbs-off,jobshop_wct,solved,819.0,819.0,0.0,0.109375,98,6,7,27
jobshop_03,dfa,jobshop_wct,solved,667.0,667.0,0.0,0.515625,10,9,10,54
jobshop_03,nosbs-auto,jobshop_wct,solved,667.0,666.9999999999,0.0,0.4375,804,9,10,54
jobshop_03,nosbs-off,jobshop_wct,solved,667.0,666.9999999999,0.0,0.453125,804,9,10,54
jobshop_04,dfa,jobshop_wct,solved,1163.0,1163.0,0.0,7.46875,3679,12,13,96
jobshop_04,nosbs-auto,jobshop_wct,solved,1163.0,1163.0,0.0,24.34375,23057,12,13,96
jobshop_04,nosbs-off,jobshop_wct,solved,1163.0,1163.0,0.0,25.90625,23057,12,13,96
jobshop_05,dfa,jobshop_wct,solved,1383.0,1383.0,0.0,97.984375,5690,16,17,160
jobshop_05,nosbs-auto,jobshop_wct,limit,1382.9998809995159,1168.0,15.545899999999998,598.796875,511643,16,17,160
jobshop_05,nosbs-off,jobshop_wct,limit,1382.9998809995159,1168.0,15.545899999999998,597.984375,495132,16,17,160
jobshop_06,dfa,jobshop_wct,limit,1479.0,1076.000000034,27.248100000000004,598.140625,13742,20,21,250
jobshop_06,nosbs-auto,jobshop_wct,limit,1479.0,1076.000000001,27.248100000000004,597.234375,84463,20,21,250
jobshop_06,nosbs-off,jobshop_wct,limit,1478.9999775308465,1076.0,27.248100000000004,598.40625,86717,20,21,250
jobshop_07,dfa,jobshop_wct,limit,2009.9999724496638,1547.000000029,23.0348,597.734375,2611,25,26,375
jobshop_07,nosbs-auto,jobshop_wct,limit,1953.0,1547.0,20.7885,597.328125,36403,25,26,375
jobshop_07,nosbs-off,jobshop_wct,limit,2025.9999856556117,1547.000000001,23.6426,597.359375,31333,25,26,375
jobshop_08,dfa,jobshop_wct,limit,1799.0,1250.000000029,30.517,597.84375,733,30,31,540
jobshop_08,nosbs-auto,jobshop_wct,limit,1595.0,1250.0,21.6301,597.3125,10350,30,31,540
jobshop_08,nosbs-off,jobshop_wct,limit,1710.999971187323,1250.000000103,26.943300000000004,597.453125,10202,30,31,540
jobshop_09,dfa,jobshop_wct,limit,3094.0,2288.0,26.0504,597.671875,644,36,37,756
jobshop_09,nosbs-auto,jobshop_wct,limit,3044.0,2288.000000015,24.8357,597.5625,1978,36,37,756
jobshop_09,nosbs-off,jobshop_wct,limit,3093.9999832274902,2288.00000019,26.0504,598.03125,973,36,37,756
jobshop_10,dfa,jobshop_wct,limit,5904.0,3234.0,45.2236,597.734375,223,42,43,1029
jobshop_10,nosbs-auto,jobshop_wct,limit,5112.0,3234.0,36.7371,598.25,641,42,43,1029
jobshop_10,nosbs-off,jobshop_wct,limit,4987.9999935645355,3234.0,35.1644,598.109375,627,42,43,1029
