instance_name,config,objective,status,obj,best_bound,gap_pct,time,n_nodes,deadline,n_ops,n_dfa_states,n_dfa_arcs
synth_01,dfa,makespan,solved,10.0,10.0,0.0,0.25,185,,7,8,38
synth_01,nosbs-auto,makespan,solved,9.999999001098958,9.999999001099,0.0,0.203125,422,,7,8,38
synth_01,nosbs-off,makespan,solved,9.999999001098958,9.999999001099,0.0,0.21875,422,,7,8,38
synth_02,dfa,makespan,solved,23.0,23.0,0.0,0.546875,548,,8,9,50
synth_02,nosbs-auto,makespan,solved,23.0,23.0,0.0,0.59375,1503,,8,9,50
synth_02,nosbs-off,makespan,solved,23.0,23.0,0.0,0.578125,1503,,8,9,50
synth_03,dfa,makespan,solved,22.9999999976,22.9999999976,0.0,0.71875,507,,8,9,50
synth_03,nosbs-auto,makespan,solved,23.0,22.9999999976,0.0,2.046875,1529,,8,9,50
synth_03,nosbs-off,makespan,solved,23.0,22.9999999976,0.0,2.171875,1529,,8,9,50
synth_04,dfa,makespan,solved,26.0,26.0,0.0,0.8125,850,,8,9,50
synth_04,nosbs-auto,makespan,solved,25.99999999729979,25.9999999973,0.0,0.8125,2239,,8,9,50
synth_04,nosbs-off,makespan,solved,25.99999999729979,25.9999999973,0.0,0.765625,2239,,8,9,50
synth_05,dfa,makespan,solved,22.99999999759998,22.9999999976,0.0,14.171875,1861,,11,12,86
synth_05,nosbs-auto,makespan,solved,22.99999999759994,22.9999999976,0.0,51.65625,37765,,11,12,86
synth_05,nosbs-off,makespan,solved,22.99999999759994,22.9999999976,0.0,50.8125,37765,,11,12,86
synth_06,dfa,makespan,solved,26.99999999719921,26.9999999972,0.0,137.453125,3584,,13,14,122
synth_06,nosbs-auto,makespan,solved,26.99999999719984,26.9999999972,0.0,98.46875,27872,,13,14,122
synth_06,nosbs-off,makespan,solved,26.99999999719984,26.9999999972,0.0,98.203125,27872,,13,14,122
synth_07,dfa,makespan,solved,17.99999999809999,17.9999999981,0.0,18.4375,2247,,11,12,86
synth_07,nosbs-auto,makespan,solved,17.9999999981,17.9999999981,0.0,7.015625,3863,,11,12,86
synth_07,nosbs-off,makespan,solved,17.9999999981,17.9999999981,0.0,6.875,3863,,11,12,86
synth_08,dfa,makespan,solved,25.99999999729999,25.9999999973,0.0,38.90625,4488,,12,13,104
synth_08,nosbs-auto,makespan,solved,25.99999947132239,25.99999947132,0.0,46.34375,17457,,12,13,104
