instance_name,config,time_limit_seconds,status,makespan,best_bound,gap_pct,milp_time,n_nodes,n_ops,n_slots,n_dfa_states,n_dfa_arcs
synth_01,NOPSOS+DFA,300,solved,10.0,10.0,0.0,0.234375,185,7,7,8,38
synth_01,NOPSOS-noSBS-symON,300,solved,9.999999001098958,9.999999001099,0.0,0.203125,422,7,7,8,38
synth_01,NOPSOS-noSBS-symOFF,300,solved,9.999999001098958,9.999999001099,0.0,0.21875,422,7,7,8,38
synth_02,NOPSOS+DFA,300,solved,23.0,23.0,0.0,0.53125,548,8,8,9,50
synth_02,NOPSOS-noSBS-symON,300,solved,23.0,23.0,0.0,0.578125,1503,8,8,9,50
synth_02,NOPSOS-noSBS-symOFF,300,solved,23.0,23.0,0.0,0.5625,1503,8,8,9,50
synth_03,NOPSOS+DFA,300,solved,22.9999999976,22.9999999976,0.0,0.703125,507,8,8,9,50
synth_03,NOPSOS-noSBS-symON,300,solved,23.0,22.9999999976,0.0,1.96875,1529,8,8,9,50
synth_03,NOPSOS-noSBS-symOFF,300,solved,23.0,22.9999999976,0.0,2,1529,8,8,9,50
synth_04,NOPSOS+DFA,300,solved,26.0,26.0,0.0,0.78125,850,8,8,9,50
synth_04,NOPSOS-noSBS-symON,300,solved,25.99999999729979,25.9999999973,0.0,0.734375,2239,8,8,9,50
synth_04,NOPSOS-noSBS-symOFF,300,solved,25.99999999729979,25.9999999973,0.0,0.734375,2239,8,8,9,50
synth_05,NOPSOS+DFA,300,solved,22.99999999759998,22.9999999976,0.0,13.578125,1861,11,11,12,86
synth_05,NOPSOS-noSBS-symON,300,solved,22.99999999759994,22.9999999976,0.0,49.8125,37765,11,11,12,86
synth_05,NOPSOS-noSBS-symOFF,300,solved,22.99999999759994,22.9999999976,0.0,49.765625,37765,11,11,12,86
synth_06,NOPSOS+DFA,300,solved,26.99999999719921,26.9999999972,0.0,135.46875,3584,13,13,14,122
synth_06,NOPSOS-noSBS-symON,300,solved,26.99999999719984,26.9999999972,0.0,96.703125,27872,13,13,14,122
synth_06,NOPSOS-noSBS-symOFF,300,solved,26.99999999719984,26.9999999972,0.0,96.3125,27872,13,13,14,122
synth_07,NOPSOS+DFA,300,solved,17.99999999809999,17.9999999981,0.0,17.921875,2247,11,11,12,86
synth_07,NOPSOS-noSBS-symON,300,solved,17.9999999981,17.9999999981,0.0,6.84375,3863,11,11,12,86
synth_07,NOPSOS-noSBS-symOFF,300,solved,17.9999999981,17.9999999981,0.0,6.828125,3863,11,11,12,86
synth_08,NOPSOS+DFA,300,solved,25.99999999729999,25.9999999973,0.0,37.90625,4488,12,12,13,104
synth_08,NOPSOS-noSBS-symON,300,solved,25.99999947132239,25.99999947132,0.0,44.90625,17457,12,12,13,104
synth_08,NOPSOS-noSBS-symOFF,300,solved,25.99999947132239,25.99999947132,0.0,44.828125,17457,12,12,13,104
synth_09,NOPSOS+DFA,300,solved,24.99999999739961,24.9999999974,0.0,16.515625,2296,12,12,13,99
synth_09,NOPSOS-noSBS-symON,300,solved,25.0,24.9999999974,0.0,8.078125,3285,12,12,13,99
synth_09,NOPSOS-noSBS-symOFF,300,solved,25.0,24.9999999974,0.0,8.15625,3285,12,12,13,99
synth_10,NOPSOS+DFA,300,solved,25.99999999729982,25.9999999973,0.0,15.109375,2913,11,11,12,83
synth_10,NOPSOS-noSBS-symON,300,solved,25.99999999729999,25.9994,0.0023,5.453125,3292,11,11,12,83
