instance_name,config,objective,status,obj,best_bound,gap_pct,time,n_nodes,n_ops,n_dfa_states,n_dfa_arcs
openshop_01,dfa,openshop,solved,29.0,29.0,0.0,0.03125,11,4,5,14
openshop_01,nosbs-auto,openshop,solved,28.999999997,28.999999997,0.0,0.078125,29,4,5,14
openshop_01,nosbs-off,openshop,solved,28.999999997,28.999999997,0.0,0.078125,29,4,5,14
openshop_02,dfa,openshop,solved,37.0,37.0,0.0,0.15625,209,6,7,30
openshop_02,nosbs-auto,openshop,solved,36.99999999619961,36.9999999962,0.0,0.140625,532,6,7,30
openshop_02,nosbs-off,openshop,solved,36.99999999619961,36.9999999962,0.0,0.171875,532,6,7,30
openshop_03,dfa,openshop,solved,39.99999999589998,39.9999999959,0.0,5.3125,1773,9,10,63
openshop_03,nosbs-auto,openshop,solved,39.99999999589998,39.9999999959,0.0,5.90625,3029,9,10,63
openshop_03,nosbs-off,openshop,solved,39.99999999589998,39.9999999959,0.0,5.640625,3029,9,10,63
openshop_04,dfa,openshop,solved,45.99999999529979,45.9999999953,0.0,297.03125,29716,12,13,108
openshop_04,nosbs-auto,openshop,limit,45.99965849149027,31.0,32.6082,598.796875,253917,12,13,108
openshop_04,nosbs-off,openshop,limit,45.99965849149027,31.0,32.6082,598.328125,255179,12,13,108
openshop_05,dfa,openshop,limit,64.99999999339968,20.4,68.6154,598.796875,15165,16,17,184
openshop_05,nosbs-auto,openshop,limit,64.99999999339998,25.0,61.5385,599.03125,101081,16,17,184
openshop_05,nosbs-off,openshop,limit,64.99999524826735,38.0,41.5385,598.6875,121683,16,17,184
openshop_06,dfa,openshop,limit,73.99999999249913,19.0,74.3243,598.953125,6123,20,21,280
openshop_06,nosbs-auto,openshop,limit,73.99999999249964,19.0,74.3243,598.703125,41881,20,21,280
openshop_06,nosbs-off,openshop,limit,73.99999999249997,19.0000000002,74.3243,597.71875,34638,20,21,280
openshop_07,dfa,openshop,limit,65.99999999329998,18.00000000001,72.7273,598.90625,1305,25,26,425
openshop_07,nosbs-auto,openshop,limit,60.99999999379999,18.0,70.4918,598.921875,7479,25,26,425
openshop_07,nosbs-off,openshop,limit,61.9999999936999,18.0,70.9677,598.953125,7869,25,26,425
openshop_08,dfa,openshop,limit,87.99999999109993,19.00000000094,78.4091,599.375,884,30,31,600
openshop_08,nosbs-auto,openshop,limit,83.99999998299836,19.0,77.381,599.59375,3610,30,31,600
openshop_08,nosbs-off,openshop,limit,83.99999999149888,19.0,77.381,599.3125,3151,30,31,600
openshop_09,dfa,openshop,limit,88.0,18.0,79.5455,599.5625,528,36,37,846
openshop_09,nosbs-auto,openshop,limit,87.99999999109998,18.0,79.5455,599.671875,1641,36,37,846
openshop_09,nosbs-off,openshop,limit,83.99999999149998,18.00000000002,78.5714,599.578125,1657,36,37,846
openshop_10,dfa,openshop,limit,75.99999999229999,20.0,73.6842,600.03125,534,42,43,1134
openshop_10,nosbs-auto,openshop,limit,73.99999999249997,20.0,72.973,599.734375,733,42,43,1134
openshop_10,nosbs-off,openshop,limit,73.99999999249997,20.00000000383,72.973,600.03125,1010,42,43,1134
