instance,order,n_ops,states,arcs,obj,gap_pct,time,nodes,status
synth_01,base,7,8,38,135.0,0.0,0.3125,1,solved
synth_01,1,7,8,38,135.0,0.0,0.328125,1,solved
synth_01,2,7,8,38,135.0,0.0,0.21875,105,solved
synth_01,3,7,8,38,135.0,0.0,0.203125,49,solved
synth_01,4,7,8,38,135.0,0.0,0.21875,76,solved
synth_03,base,8,9,50,563.0,0.0,1.125,736,solved
synth_03,1,8,9,50,563.0,0.0,1.03125,777,solved
synth_03,2,8,9,50,563.0,0.0,1.078125,1082,solved
synth_03,3,8,9,50,563.0,0.0,1.109375,1006,solved
synth_03,4,8,9,50,563.0,0.0,1.234375,1014,solved
synth_05,base,11,12,86,448.0,0.0,16.875,3735,solved
synth_05,1,11,12,86,448.0,0.0,21.953125,5032,solved
synth_05,2,11,12,86,448.0,0.0,26.796875,7064,solved
synth_05,3,11,12,86,448.0,0.0,28.0625,7642,solved
synth_05,4,11,12,86,448.0,0.0,23.71875,5618,solved
synth_08,base,12,13,104,614.0,0.0,118.890625,30752,solved
synth_08,1,12,13,104,613.9999958574999,0.0,122.546875,40325,solved
synth_08,2,12,13,104,614.0,0.0018,119.90625,32462,solved
synth_08,3,12,13,104,614.0,0.0,169.125,61099,solved
synth_08,4,12,13,104,614.0,0.0,209.90625,70914,solved
synth_09,base,12,13,99,804.0,0.0,40.40625,9577,solved
synth_09,1,12,13,99,804.0,0.0,77.078125,22031,solved
synth_09,2,12,13,99,804.0,0.0,32.484375,7691,solved
synth_09,3,12,13,99,804.0,0.0,70.296875,19123,solved
synth_09,4,12,13,99,804.0,0.0,45.1875,9922,solved
synth_11,base,11,12,83,617.0,0.0,9.28125,2684,solved
synth_11,1,11,12,83,617.0,0.0,12.03125,2820,solved
synth_11,2,11,12,83,617.0,0.0,11.171875,3262,solved
synth_11,3,11,12,83,617.0,0.0,11.65625,3646,solved
synth_11,4,11,12,83,617.0,0.0,12.1875,3797,solved
synth_13,base,14,15,129,544.0,0.0,72.046875,13060,solved
synth_13,1,14,15,129,543.9999969999997,0.0,138.296875,27382,solved
synth_13,2,14,15,129,544.0,0.0,84.03125,12383,solved
synth_13,3,14,15,129,543.9999933333326,0.0,105.203125,17241,solved
synth_13,4,14,15,129,544.0,0.0,155.375,31448,solved
synth_18,base,14,15,129,976.0,0.0,229.3125,38544,solved
synth_18,1,14,15,129,976.0,0.0,268.96875,52112,solved
synth_18,2,14,15,129,976.0,0.0,492.484375,92322,solved
synth_18,3,14,15,129,976.0,0.0,239.3125,37575,solved
synth_18,4,14,15,129,976.0,0.0,288.28125,73206,solved
synth_20,base,20,21,258,1268.0,38.8013,598.90625,9077,limit
synth_20,1,20,21,258,1274.0,39.0895,598.859375,9247,limit
synth_20,2,20,21,258,1276.0,39.185,598.5625,9641,limit
synth_20,3,20,21,258,1276.0,39.185,598.796875,11503,limit
synth_20,4,20,21,258,1268.0,38.8013,599.296875,10202,limit
synth_25,base,19,20,229,1237.0,32.498,599.296875,10212,limit
synth_25,1,19,20,229,1198.0,29.805,599.3125,10283,limit
synth_25,2,19,20,229,1197.9999583333324,30.300499999999996,598.96875,10328,limit
synth_25,3,19,20,229,1198.0,30.300499999999996,598.59375,10533,limit
synth_25,4,19,20,229,1197.9999974285715,30.300499999999996,598.6875,10822,limit
