instance_name,config,objective,status,obj,best_bound,gap_pct,time,n_nodes,lp_bound,root_relax,n_sbs_rows,deadline,n_ops,n_dfa_states,n_dfa_arcs
synth_01,dfa,wct,solved,135.0,135.0,0.0,0.359375,1,98.0,98.0,,,7,8,38
synth_01,pairwise,wct,solved,135.0,135.0,0.0,0.328125,1,98.00000000000003,98.0,108,,7,8,38
synth_03,dfa,wct,solved,563.0,563.0,0.0,1.125,736,335.0,335.0,,,8,9,50
synth_03,pairwise,wct,solved,563.0,563.0,0.0,0.96875,987,335.0,335.0,154,,8,9,50
synth_05,dfa,wct,solved,448.0,448.0,0.0,18.78125,3735,303.0,303.0,,,11,12,86
synth_05,pairwise,wct,solved,448.0,448.0,0.0,15.453125,5563,303.0,303.0,460,,11,12,86
synth_11,dfa,wct,solved,617.0,617.0,0.0,9.21875,2684,484.0,484.0,,,11,12,83
synth_11,pairwise,wct,solved,617.0,617.0,0.0,4.046875,2306,484.0000000000001,484.0,490,,11,12,83
synth_08,dfa,wct,solved,614.0,614.0,0.0,142.734375,30752,405.0,405.0,,,12,13,104
synth_08,pairwise,wct,solved,614.0,614.0,0.0,121.765625,41188,405.0,405.0,572,,12,13,104
synth_09,dfa,wct,solved,804.0,804.0,0.0,48.96875,9577,570.0000000000001,570.0,,,12,13,99
synth_09,pairwise,wct,solved,804.0,804.0,0.0,28.078125,8667,570.0,570.0,627,,12,13,99
synth_13,dfa,wct,solved,544.0,544.0,0.0,87.78125,13060,427.0,427.0,,,14,15,129
synth_13,pairwise,wct,solved,544.0,543.9980428189,0.00039999999999999996,99.109375,22993,427.0,427.0,1053,,14,15,129
synth_18,dfa,wct,solved,976.0,976.0,0.0,277.484375,38544,695.9999999999984,696.0,,,14,15,129
synth_18,pairwise,wct,solved,976.0,976.0,0.0,199.953125,54138,695.9999999999999,696.0,1053,,14,15,129
synth_25,dfa,wct,limit,1237.0,835.000000001,32.498,598.65625,10202,835.0000000000002,835.0,,,19,20,229
synth_25,pairwise,wct,limit,1198.0,835.359840563,30.2705,598.875,20883,835.0000000000001,835.0,2718,,19,20,229
synth_20,dfa,wct,limit,1268.0,776.0000000067,38.8013,598.65625,8576,775.9999999999994,776.0,,,20,21,258
synth_20,pairwise,wct,limit,1288.0,776.0000000038,39.7516,598.84375,18443,776.0000000000002,776.0,3078,,20,21,258
