instance_name,config,status,obj,gap_pct,time,n_nodes,n_ops
synth100_001,dfa,infeasible,0.0,,0.03125,1,7
synth100_001,nosbs-off,infeasible,0.0,,0.03125,1,7
synth100_002,dfa,infeasible,0.0,,0.046875,1,8
synth100_002,nosbs-off,infeasible,0.0,,0.046875,1,8
synth100_003,dfa,infeasible,0.0,,0.578125,659,8
synth100_003,nosbs-off,infeasible,0.0,,0.96875,4256,8
synth100_004,dfa,infeasible,0.0,,0.875,845,8
synth100_004,nosbs-off,infeasible,0.0,,1.109375,2842,8
synth100_005,dfa,infeasible,0.0,,0.203125,196,7
synth100_005,nosbs-off,infeasible,0.0,,0.234375,768,7
synth100_006,dfa,infeasible,0.0,,0.765625,888,8
synth100_006,nosbs-off,infeasible,0.0,,1.015625,3867,8
synth100_007,dfa,infeasible,0.0,,0.078125,1,7
synth100_007,nosbs-off,infeasible,0.0,,0.109375,247,7
synth100_008,dfa,infeasible,0.0,,0.296875,271,8
synth100_008,nosbs-off,infeasible,0.0,,0.53125,1852,8
synth100_009,dfa,infeasible,0.0,,0.03125,1,7
synth100_009,nosbs-off,infeasible,0.0,,0.03125,1,7
synth100_010,dfa,infeasible,0.0,,0.125,164,7
synth100_010,nosbs-off,infeasible,0.0,,0.1875,641,7
synth100_011,dfa,infeasible,0.0,,0,0,6
synth100_011,nosbs-off,infeasible,0.0,,0.03125,1,6
synth100_012,dfa,infeasible,0.0,,0.15625,190,7
synth100_012,nosbs-off,infeasible,0.0,,0.1875,877,7
synth100_013,dfa,infeasible,0.0,,0.1875,167,7
synth100_013,nosbs-off,infeasible,0.0,,0.25,869,7
synth100_014,dfa,infeasible,0.0,,10.421875,5946,11
synth100_014,nosbs-off,infeasible,0.0,,37.875,35062,11
synth100_015,dfa,infeasible,0.0,,10.0625,6653,11
synth100_015,nosbs-off,infeasible,0.0,,22.15625,17832,11
synth100_016,dfa,infeasible,0.0,,1.59375,1916,10
synth100_016,nosbs-off,infeasible,0.0,,3.890625,5148,10
synth100_017,dfa,infeasible,0.0,,0.0625,1,11
synth100_017,nosbs-off,infeasible,0.0,,0.109375,1,11
synth100_018,dfa,infeasible,0.0,,6.4375,5548,11
synth100_018,nosbs-off,infeasible,0.0,,2.703125,3352,11
synth100_019,dfa,infeasible,0.0,,13.625,7264,11
synth100_019,nosbs-off,infeasible,0.0,,98.796875,92337,11
synth100_020,dfa,infeasible,0.0,,0.09375,1,11
synth100_020,nosbs-off,infeasible,0.0,,0.0625,1,11
synth100_021,dfa,infeasible,0.0,,5.484375,3219,11
synth100_021,nosbs-off,infeasible,0.0,,18.734375,14458,11
synth100_022,dfa,infeasible,0.0,,9.296875,5897,11
synth100_022,nosbs-off,infeasible,0.0,,39.796875,30305,11
synth100_023,dfa,infeasible,0.0,,10.328125,5265,12
synth100_023,nosbs-off,infeasible,0.0,,15.046875,8511,12
synth100_024,dfa,infeasible,0.0,,13.9375,6902,12
synth100_024,nosbs-off,infeasible,0.0,,154.125,87855,12
synth100_025,dfa,infeasible,0.0,,5.828125,4905,11
synth100_025,nosbs-off,infeasible,0.0,,14.78125,12512,11
synth100_026,dfa,infeasible,0.0,,0.078125,1,10
synth100_026,nosbs-off,infeasible,0.0,,0.046875,1,10
synth100_027,dfa,infeasible,0.0,,0.109375,1,11
synth100_027,nosbs-off,infeasible,0.0,,0.0625,1,11
synth100_028,dfa,infeasible,0.0,,19.9375,4835,12
synth100_028,nosbs-off,infeasible,0.0,,321.234375,86992,12
synth100_029,dfa,infeasible,0.0,,16.46875,6401,11
synth100_029,nosbs-off,infeasible,0.0,,75.03125,46860,11
synth100_030,dfa,infeasible,0.0,,22.984375,7766,12
synth100_030,nosbs-off,infeasible,0.0,,53.28125,34438,12
synth100_031,dfa,infeasible,0.0,,0.0625,1,10
synth100_031,nosbs-off,infeasible,0.0,,0.0625,1,10
synth100_032,dfa,infeasible,0.0,,4.546875,5255,11
synth100_032,nosbs-off,infeasible,0.0,,34.46875,38347,11
synth100_033,dfa,infeasible,0.0,,0.03125,1,10
synth100_033,nosbs-off,infeasible,0.0,,0.046875,1,10
synth100_034,dfa,infeasible,0.0,,17.578125,6335,12
synth100_034,nosbs-off,infeasible,0.0,,52.03125,33236,12
synth100_035,dfa,infeasible,0.0,,0.0625,1,10
synth100_035,nosbs-off,infeasible,0.0,,0.109375,1,10
synth100_036,dfa,infeasible,0.0,,11.78125,6028,12
synth100_036,nosbs-off,infeasible,0.0,,34.609375,21556,12
synth100_037,dfa,infeasible,0.0,,11.03125,6019,12
synth100_037,nosbs-off,infeasible,0.0,,44.046875,30652,12
synth100_038,dfa,infeasible,0.0,,5.59375,5396,11
synth100_038,nosbs-off,infeasible,0.0,,18.796875,16575,11
synth100_039,dfa,infeasible,0.0,,4.375,3586,12
synth100_039,nosbs-off,infeasible,0.0,,9.671875,9140,12
synth100_040,dfa,infeasible,0.0,,40.125,6007,15
synth100_040,nosbs-off,limit,0.0,,598.640625,230723,15
synth100_041,dfa,infeasible,0.0,,2.96875,1812,13
synth100_041,nosbs-off,infeasible,0.0,,120.09375,95302,13
synth100_042,dfa,infeasible,0.0,,0.140625,1,14
synth100_042,nosbs-off,infeasible,0.0,,0.09375,1,14
synth100_043,dfa,infeasible,0.0,,107.515625,15710,15
synth100_043,nosbs-off,limit,0.0,,598.609375,250868,15
synth100_044,dfa,infeasible,0.0,,0.203125,1,16
synth100_044,nosbs-off,infeasible,0.0,,0.140625,1,16
synth100_046,dfa,infeasible,0.0,,129.96875,11989,16
synth100_046,nosbs-off,limit,0.0,,598.59375,159274,16
synth100_048,dfa,infeasible,0.0,,0.203125,1,16
synth100_048,nosbs-off,infeasible,0.0,,0.15625,1,16
synth100_049,dfa,infeasible,0.0,,12.15625,281,16
synth100_049,nosbs-off,infeasible,0.0,,7.421875,2085,16
synth100_050,dfa,infeasible,0.0,,47.765625,2549,17
synth100_050,nosbs-off,infeasible,0.0,,12.15625,3350,17
synth100_052,dfa,infeasible,0.0,,0.265625,1,15
synth100_052,nosbs-off,infeasible,0.0,,0.1875,1,15
synth100_053,dfa,infeasible,0.0,,17.140625,4395,15
synth100_053,nosbs-off,infeasible,0.0,,3.53125,3984,15
synth100_054,dfa,infeasible,0.0,,21.0625,3980,15
synth100_054,nosbs-off,limit,0.0,,596.3125,122567,15
synth100_055,dfa,infeasible,0.0,,0.09375,1,13
synth100_055,nosbs-off,infeasible,0.0,,0.046875,1,13
synth100_056,dfa,infeasible,0.0,,22.71875,5059,14
synth100_056,nosbs-off,limit,0.0,,598.34375,399407,14
synth100_057,dfa,infeasible,0.0,,0.15625,1,15
synth100_057,nosbs-off,infeasible,0.0,,0.109375,1,15
synth100_058,dfa,infeasible,0.0,,147.421875,15602,15
synth100_058,nosbs-off,limit,0.0,,598.625,230265,15
synth100_059,dfa,limit,0.0,,598.796875,87264,16
synth100_059,nosbs-off,limit,0.0,,598.828125,210252,16
synth100_060,dfa,infeasible,0.0,,19.375,5974,15
synth100_060,nosbs-off,limit,0.0,,598.296875,305526,15
synth100_061,dfa,infeasible,0.0,,134.046875,22241,14
