instance,n_ops,n_dfa_states,n_dfa_arcs,n_seq_no_sbs,n_seq_dfa,reduction
synth_01,7,8,38,2520,502,5.0
synth_02,8,9,50,20160,3588,5.6
synth_03,8,9,50,20160,3588,5.6
synth_04,8,9,50,20160,3588,5.6
synth_05,11,12,86,6652800,243816,27.3
synth_06,13,14,122,1037836800,21332736,48.6
synth_07,11,12,86,6652800,246072,27.0
synth_08,12,13,104,79833600,2180520,36.6
synth_09,12,13,99,79833600,811428,98.4
synth_10,11,12,83,6652800,111576,59.6
synth_11,11,12,83,6652800,120912,55.0
synth_12,16,17,169,1743565824000,873422688,1996.2
synth_13,14,15,129,3632428800,18178944,199.8
synth_14,15,16,148,54486432000,141030888,386.3
synth_15,15,16,150,54486432000,219503280,248.2
synth_16,15,16,149,54486432000,147526896,369.3
synth_17,15,16,149,54486432000,180420000,302.0
synth_18,14,15,129,3632428800,17652144,205.8
synth_19,15,16,150,54486432000,136349280,399.6
synth_20,20,21,258,20274183401472000,3087463015680,6566.6
synth_21,17,18,185,2964061900800,1964953680,1508.5
synth_22,18,19,211,53353114214400,38077789440,1401.2
synth_23,21,22,280,,,
synth_24,22,23,310,,,
synth_25,19,20,229,1013709170073600,205690968240,4928.3
synth_26,17,18,183,2964061900800,1566373440,1892.3
synth_27,26,27,422,,,
synth_28,24,25,357,,,
synth_29,24,25,358,,,
synth_30,23,24,332,,,
