instance,n_ops,n_dfa_states,n_dfa_arcs,n_seq_no_sbs,n_seq_dfa,reduction
synth_01,7,8,38,2520,251,10.0
synth_02,8,9,50,20160,1794,11.2
synth_03,8,9,50,20160,1794,11.2
synth_04,8,9,50,20160,1794,11.2
synth_05,11,12,86,6652800,40636,163.7
synth_06,13,14,122,1037836800,3555456,291.9
synth_07,11,12,86,6652800,41012,162.2
synth_08,12,13,104,79833600,363420,219.7
synth_09,12,13,99,79833600,135238,590.3
synth_10,11,12,83,6652800,18596,357.8
synth_11,11,12,83,6652800,20152,330.1
synth_12,16,17,169,1743565824000,72785224,23954.9
synth_13,14,15,129,3632428800,757456,4795.6
synth_14,15,16,148,54486432000,5876287,9272.3
synth_15,15,16,150,54486432000,9145970,5957.4
synth_16,15,16,149,54486432000,6146954,8864.0
synth_17,15,16,149,54486432000,7517500,7247.9
synth_18,14,15,129,3632428800,735506,4938.7
synth_19,15,16,150,54486432000,5681220,9590.6
synth_20,20,21,258,20274183401472000,25728858464,787993.9
synth_21,17,18,185,2964061900800,16374614,181015.7
synth_22,18,19,211,53353114214400,317314912,168139.3
synth_23,21,22,280,,,
synth_24,22,23,310,,,
synth_25,19,20,229,1013709170073600,1714091402,591397.4
synth_26,17,18,183,2964061900800,13053112,227077.0
synth_27,26,27,422,,,
synth_28,24,25,357,,,
synth_29,24,25,358,,,
synth_30,23,24,332,,,
