instance_name,formulation,time_limit_seconds,status,obj_value,best_bound,gap,gap_pct,milp_time,total_time,n_nodes,n_ops,n_slots,n_dfa_states,n_dfa_arcs,n_binary_vars,n_variables,n_continuous_vars,n_constraints
synth_01,NOPSOS+DFA,300,solved,7406.38,7406.377849356,0.0,0.0,0.1562,0.1562,1,7,7,9,43,350,833,483,1031
synth_01,SOS+RE,300,solved,7406.38,7406.377849356,0.0,0.0,0.0469,0.0469,1,7,7,13,43,350,833,483,1055
synth_02,NOPSOS+DFA,300,solved,4433.51,4433.508680607,0.0,0.0,0.0781,0.0781,1,8,8,10,54,496,1104,608,1424
synth_02,SOS+RE,300,solved,4433.51,4433.508680607,0.0,0.0,0.125,0.125,1,8,8,16,58,528,1136,608,1466
synth_03,NOPSOS+DFA,300,solved,8090.13,8090.132243281,0.0,0.0,0.0938,0.0938,1,8,8,10,54,496,1104,608,1424
synth_03,SOS+RE,300,solved,8090.13,8090.132243281,0.0,0.0,0.0938,0.0938,1,8,8,16,58,528,1136,608,1466
synth_04,NOPSOS+DFA,300,solved,5233.65,5233.647869674,0.0,0.0,0.0781,0.0781,1,8,8,10,54,496,1104,608,1424
synth_04,SOS+RE,300,solved,5233.65,5233.647869674,0.0,0.0,0.125,0.125,1,8,8,16,58,528,1136,608,1466
synth_05,NOPSOS+DFA,300,solved,12984.1,12984.10435343,0.0,0.0,1.125,1.125,43,11,11,13,91,1122,2673,1551,3346
synth_05,SOS+RE,300,solved,12984.1,12984.10435343,0.0,0.0,2.0,2.0,100,11,11,35,193,2244,3795,1551,3566
synth_06,NOPSOS+DFA,300,solved,11575.0,11576.03435453,9.2e-05,0.0092,85.1562,85.1562,4432,13,13,15,122,1755,3822,2067,5172
synth_06,SOS+RE,300,solved,11575.5,11576.03435453,5e-05,0.005,192.5156,192.5156,9069,13,13,47,286,3887,5954,2067,5556
synth_07,NOPSOS+DFA,300,solved,12937.2,12937.22816901,0.0,0.0,1.4531,1.4531,31,11,11,13,91,1122,2673,1551,3346
synth_07,SOS+RE,300,solved,12937.2,12937.22816901,0.0,0.0,1.5156,1.5156,44,11,11,35,193,2244,3795,1551,3566
synth_08,NOPSOS+DFA,300,solved,11502.8,11502.76085413,0.0,0.0,0.2812,0.2812,1,12,12,14,106,1416,3216,1800,4188
synth_08,SOS+RE,300,solved,11502.8,11502.76085413,0.0,0.0,0.5469,0.5469,1,12,12,41,240,3024,4824,1800,4485
synth_09,NOPSOS+DFA,300,solved,15698.8,15698.8005228,0.0,0.0,2.1562,2.1562,244,12,11,14,105,1287,2937,1650,3565
synth_09,SOS+RE,300,solved,15692.7,15692.73746702,0.0,0.0,0.1562,0.1562,1,12,11,23,77,979,2629,1650,3655
synth_10,NOPSOS+DFA,300,solved,6360.79,6360.788882526,0.0,0.0,1.2031,1.2031,63,11,10,13,90,1010,2420,1410,2823
synth_10,SOS+RE,300,solved,6360.79,6360.788883784,0.0,0.0,0.0781,0.0781,1,11,10,20,62,730,2140,1410,2886
synth_11,NOPSOS+DFA,300,solved,7457.78,7457.784035079,0.0,0.0,0.7969,0.7969,1,11,10,13,90,1010,2420,1410,2823
synth_11,SOS+RE,300,solved,7457.78,7457.784035079,0.0,0.0,0.1406,0.1406,1,11,10,20,62,730,2140,1410,2886
synth_12,NOPSOS+DFA,300,solved,13156.8,13156.80185042,0.0,0.0,96.0938,96.0938,2026,16,14,18,173,2646,6118,3472,7296
synth_12,SOS+RE,300,solved,12706.7,12707.99384103,9.900000000000001e-05,0.0099,13.4062,13.4062,1013,16,14,80,383,5586,9058,3472,8102
synth_13,NOPSOS+DFA,300,solved,14810.7,14810.73973042,0.0,0.0,11.5625,11.5625,1090,14,14,16,138,2128,5292,3164,6669
synth_13,SOS+RE,300,solved,10637.7,10637.70982211,0.0,0.0,5.4062,5.4062,915,14,14,46,228,3388,6552,3164,7059
synth_14,NOPSOS+DFA,300,solved,17928.4,17929.93381493,8.3e-05,0.0083,206.4531,206.4531,7697,15,15,17,156,2565,6120,3555,7983
synth_14,SOS+RE,300,solved,17368.4,17368.38068182,0.0,0.0,12.9375,12.9375,348,15,15,52,281,4440,7995,3555,8473
synth_15,NOPSOS+DFA,300,solved,14591.8,14591.75428905,0.0,0.0,36.0938,36.0938,1710,15,15,17,156,2565,6120,3555,7983
synth_15,SOS+RE,300,solved,11379.4,11379.44721268,0.0,0.0,0.375,0.375,1,15,15,38,195,3150,6705,3555,8277
synth_16,NOPSOS+DFA,300,solved,14245.9,14245.90082663,0.0,0.0,67.4219,67.4219,3231,15,14,17,156,2394,5712,3318,7592
synth_16,SOS+RE,300,solved,13962.5,13962.45665042,0.0,0.0,4.6562,4.6562,47,15,14,61,288,4242,7560,3318,8164
