instance_name,config,time_limit_seconds,status,obj_value,best_bound,gap,gap_pct,milp_time,total_time,n_nodes,n_ops,n_slots,n_dfa_states,n_dfa_arcs,n_binary_vars,n_variables,n_continuous_vars,n_constraints
synth_01,NOPSOS+DFA,300,solved,7406.38,7406.377849356,0.0,0.0,0.125,0.125,1,7,7,9,43,350,833,483,1031
synth_01,NOPSOS-noSBS-symON,300,solved,7406.38,7406.377849356,0.0,0.0,0.0938,0.0938,21,7,7,9,43,350,833,483,925
synth_01,NOPSOS-noSBS-symOFF,300,solved,7406.38,7406.377849356,0.0,0.0,0.1406,0.1406,21,7,7,9,43,350,833,483,925
synth_02,NOPSOS+DFA,300,solved,4433.51,4433.508680607,0.0,0.0,0.0938,0.0938,1,8,8,10,54,496,1104,608,1424
synth_02,NOPSOS-noSBS-symON,300,solved,4433.51,4433.508680607,0.0,0.0,0.0469,0.0469,1,8,8,10,54,496,1104,608,1287
synth_02,NOPSOS-noSBS-symOFF,300,solved,4433.51,4433.508680607,0.0,0.0,0.0469,0.0469,1,8,8,10,54,496,1104,608,1287
synth_03,NOPSOS+DFA,300,solved,8090.13,8090.132243281,0.0,0.0,0.0938,0.0938,1,8,8,10,54,496,1104,608,1424
synth_03,NOPSOS-noSBS-symON,300,solved,8090.13,8090.132243281,0.0,0.0,0.0469,0.0469,1,8,8,10,54,496,1104,608,1287
synth_03,NOPSOS-noSBS-symOFF,300,solved,8090.13,8090.132243281,0.0,0.0,0.0312,0.0312,1,8,8,10,54,496,1104,608,1287
synth_04,NOPSOS+DFA,300,solved,5233.65,5233.647869674,0.0,0.0,0.0938,0.0938,1,8,8,10,54,496,1104,608,1424
synth_04,NOPSOS-noSBS-symON,300,solved,5233.65,5233.647869674,0.0,0.0,0.0469,0.0469,1,8,8,10,54,496,1104,608,1287
synth_04,NOPSOS-noSBS-symOFF,300,solved,5233.65,5233.647869674,0.0,0.0,0.0312,0.0312,1,8,8,10,54,496,1104,608,1287
synth_05,NOPSOS+DFA,300,solved,12984.1,12984.10435343,0.0,0.0,0.9844,0.9844,43,11,11,13,91,1122,2673,1551,3346
synth_05,NOPSOS-noSBS-symON,300,solved,12984.1,12984.10435343,0.0,0.0,1.6875,1.6875,1523,11,11,13,91,1122,2673,1551,3092
synth_05,NOPSOS-noSBS-symOFF,300,solved,12984.1,12984.10435343,0.0,0.0,1.7188,1.7188,1523,11,11,13,91,1122,2673,1551,3092
synth_06,NOPSOS+DFA,300,solved,11575.0,11576.03435453,9.2e-05,0.0092,75.0,75.0,4432,13,13,15,122,1755,3822,2067,5172
synth_06,NOPSOS-noSBS-symON,300,solved,11620.8,11620.7532682,0.0,0.0,3.7031,3.7031,1172,13,13,15,122,1755,3822,2067,4820
synth_06,NOPSOS-noSBS-symOFF,300,solved,11620.8,11620.7532682,0.0,0.0,3.625,3.625,1172,13,13,15,122,1755,3822,2067,4820
synth_07,NOPSOS+DFA,300,solved,12937.2,12937.22816901,0.0,0.0,1.4219,1.4219,31,11,11,13,91,1122,2673,1551,3346
synth_07,NOPSOS-noSBS-symON,300,solved,12937.2,12937.22816901,0.0,0.0,0.4062,0.4062,43,11,11,13,91,1122,2673,1551,3092
synth_07,NOPSOS-noSBS-symOFF,300,solved,12937.2,12937.22816901,0.0,0.0,0.375,0.375,43,11,11,13,91,1122,2673,1551,3092
synth_08,NOPSOS+DFA,300,solved,11502.8,11502.76085413,0.0,0.0,0.2812,0.2812,1,12,12,14,106,1416,3216,1800,4188
synth_08,NOPSOS-noSBS-symON,300,solved,11502.8,11502.76085413,0.0,0.0,0.0625,0.0625,1,12,12,14,106,1416,3216,1800,3887
synth_08,NOPSOS-noSBS-symOFF,300,solved,11502.8,11502.76085413,0.0,0.0,0.0938,0.0938,1,12,12,14,106,1416,3216,1800,3887
synth_09,NOPSOS+DFA,300,solved,15698.8,15698.8005228,0.0,0.0,1.9531,1.9531,244,12,11,14,105,1287,2937,1650,3565
synth_09,NOPSOS-noSBS-symON,300,solved,15748.8,15748.8060686,0.0,0.0,0.2812,0.2812,46,12,11,14,105,1287,2937,1650,3290
synth_09,NOPSOS-noSBS-symOFF,300,solved,15748.8,15748.8060686,0.0,0.0,0.25,0.25,46,12,11,14,105,1287,2937,1650,3290
synth_10,NOPSOS+DFA,300,solved,6360.79,6360.788882526,0.0,0.0,1.125,1.125,63,11,10,13,90,1010,2420,1410,2823
synth_10,NOPSOS-noSBS-symON,300,solved,6360.79,6360.788886531,0.0,0.0,6.0156,6.0156,4407,11,10,13,90,1010,2420,1410,2593
synth_10,NOPSOS-noSBS-symOFF,300,solved,6360.79,6360.788886531,0.0,0.0,5.9062,5.9062,4407,11,10,13,90,1010,2420,1410,2593
synth_11,NOPSOS+DFA,300,solved,7457.78,7457.784035079,0.0,0.0,0.7344,0.7344,1,11,10,13,90,1010,2420,1410,2823
synth_11,NOPSOS-noSBS-symON,300,solved,7457.78,7457.784035079,0.0,0.0,0.2344,0.2344,9,11,10,13,90,1010,2420,1410,2593
synth_11,NOPSOS-noSBS-symOFF,300,solved,7457.78,7457.784035079,0.0,0.0,0.2188,0.2188,9,11,10,13,90,1010,2420,1410,2593
synth_12,NOPSOS+DFA,300,solved,13156.8,13156.80185042,0.0,0.0,87.6562,87.6562,2026,16,14,18,173,2646,6118,3472,7296
synth_12,NOPSOS-noSBS-symON,300,solved,13159.6,13159.55775593,0.0,0.0,0.875,0.875,150,16,14,18,173,2646,6118,3472,6835
synth_12,NOPSOS-noSBS-symOFF,300,solved,13159.6,13159.55775593,0.0,0.0,0.9062,0.9062,150,16,14,18,173,2646,6118,3472,6835
synth_13,NOPSOS+DFA,300,solved,14810.7,14810.73973042,0.0,0.0,10.7656,10.7656,1090,14,14,16,138,2128,5292,3164,6669
synth_13,NOPSOS-noSBS-symON,300,limit,14810.7,15481.5581161,0.045293,4.5293,299.5156,299.5156,166958,14,14,16,138,2128,5292,3164,6262
synth_13,NOPSOS-noSBS-symOFF,300,limit,14810.7,15481.5581161,0.045293,4.5293,299.7031,299.7031,167296,14,14,16,138,2128,5292,3164,6262
