instance,n_ops,n_accepted,n_traces,words_per_trace
synth_01,7,251,219,1.15
synth_02,8,1794,1482,1.21
synth_03,8,1794,1482,1.21
synth_04,8,1794,1482,1.21
synth_05,11,40636,17152,2.37
synth_06,13,3555456,1495584,2.38
synth_07,11,41012,17152,2.39
synth_08,12,363420,182644,1.99
synth_09,12,135238,37942,3.56
synth_10,11,18596,5444,3.42
synth_11,11,20152,5028,4.01
synth_12,16,,,
synth_13,14,757456,56279,13.46
synth_14,15,,,
synth_15,15,,,
synth_16,15,,,
synth_17,15,,,
synth_18,14,735506,52131,14.11
synth_19,15,,,
synth_20,20,,,
synth_21,17,,,
synth_22,18,,,
synth_23,21,,,
synth_24,22,,,
synth_25,19,,,
synth_26,17,,,
synth_27,26,,,
synth_28,24,,,
synth_29,24,,,
synth_30,23,,,
