instance,config,n_ops,n_slots,n_dfa_states,n_dfa_arcs,obj,status,time,n_nodes,gap_pct
wang_ex1,dfa,12,6,13,120,564.0,solved,0.9375,1140,0.0
wang_ex1,pairwise,12,6,13,120,564.0,solved,0.625,1016,0.0
wang_ex1,nosbs,12,6,13,120,564.0,solved,1.25,3840,0.0
wang_ex2,dfa,10,7,11,78,251.76399999999953,solved,0.46875,87,0.0
wang_ex2,pairwise,10,7,11,78,251.7639999999999,solved,0.390625,92,0.0
wang_ex2,nosbs,10,7,11,78,251.7639999999995,solved,0.546875,1249,0.0
wang_ex3,dfa,12,8,13,114,832.0,solved,2.546875,2478,0.0
wang_ex3,pairwise,12,8,13,114,832.0,solved,1.96875,2556,0.0
wang_ex3,nosbs,12,8,13,114,832.0,solved,6.9375,7950,0.0
wang_ex4,dfa,28,16,29,594,1440.0,limit,598.671875,9505,60.0
wang_ex4,pairwise,28,16,29,594,1440.0,limit,596.203125,8584,60.0
wang_ex4,nosbs,28,16,29,594,1439.9994609404969,limit,596.28125,23930,60.0
wang_ex5,dfa,36,16,37,1026,1440.0,limit,596.625,1366,60.0
wang_ex5,pairwise,36,16,37,1026,1439.9898831922396,limit,596.359375,2323,59.9997
wang_ex5,nosbs,36,16,37,1026,1440.0,limit,596.09375,10203,60.0
wang_ex6,dfa,36,18,37,1000,1633.3070893935899,limit,596.28125,1123,48.2078
wang_ex6,pairwise,36,18,37,1000,1633.3089999999997,limit,596.65625,1634,48.2079
wang_ex6,nosbs,36,18,37,1000,1633.3083998359273,limit,596.109375,10432,48.2079
