instance_name,config,objective,status,obj,best_bound,gap_pct,time,n_nodes,deadline,n_ops,n_dfa_states,n_dfa_arcs
synth_01,dfa,wct,solved,135.0,135.0,0.0,0.15625,1,,7,8,38
synth_01,nosbs-auto,wct,solved,135.0,135.0,0.0,0.25,477,,7,8,38
synth_01,nosbs-off,wct,solved,135.0,135.0,0.0,0.25,477,,7,8,38
synth_02,dfa,wct,solved,271.0,271.0,0.0,0.765625,441,,8,9,50
synth_02,nosbs-auto,wct,solved,271.0,271.0,0.0,2.15625,4553,,8,9,50
synth_02,nosbs-off,wct,solved,271.0,271.0,0.0,2.171875,4553,,8,9,50
synth_03,dfa,wct,solved,563.0,563.0,0.0,1.21875,550,,8,9,50
synth_03,nosbs-auto,wct,solved,563.0,563.0,0.0,2.9375,6205,,8,9,50
synth_03,nosbs-off,wct,solved,563.0,563.0,0.0,2.78125,6205,,8,9,50
synth_04,dfa,wct,solved,284.0,284.0,0.0,0.65625,260,,8,9,50
synth_04,nosbs-auto,wct,solved,284.0,284.0,0.0,0.96875,1589,,8,9,50
synth_04,nosbs-off,wct,solved,284.0,284.0,0.0,1,1589,,8,9,50
synth_05,dfa,wct,solved,448.0,447.9663984641,0.0075,19.140625,3988,,11,12,86
synth_05,nosbs-auto,wct,solved,447.99999327999984,447.99999328,0.0,152.125,250003,,11,12,86
synth_05,nosbs-off,wct,solved,447.99999327999984,447.99999328,0.0,151.1875,250003,,11,12,86
synth_06,dfa,wct,limit,1249.0,882.9369566558,29.3085,599.28125,47631,,13,14,122
synth_06,nosbs-auto,wct,limit,1239.9999790312397,694.0,44.0323,598.9375,535605,,13,14,122
synth_06,nosbs-off,wct,limit,1239.9999790312397,694.0,44.0323,599.171875,537792,,13,14,122
synth_07,dfa,wct,solved,443.0,443.0,0.0,25.65625,6250,,11,12,86
synth_07,nosbs-auto,wct,solved,442.9999890676108,442.9999890676,0.0,102.734375,174482,,11,12,86
synth_07,nosbs-off,wct,solved,442.9999890676108,442.9999890676,0.0,103.96875,174482,,11,12,86
synth_08,dfa,wct,solved,614.0,614.0,0.0,196.25,19686,,12,13,104
synth_08,nosbs-auto,wct,limit,613.9999838634049,532.0,13.355,599.015625,670024,,12,13,104
synth_08,nosbs-off,wct,limit,613.9999838634049,531.435483871,13.446999999999997,599.203125,669508,,12,13,104
synth_09,dfa,wct,solved,804.0,804.0,0.0,36.609375,6210,,12,13,99
synth_09,nosbs-auto,wct,limit,803.9999958257919,714.0,11.194,599.328125,873942,,12,13,99
synth_09,nosbs-off,wct,limit,803.9999958257919,710.4166666667,11.6397,599.046875,823173,,12,13,99
synth_10,dfa,wct,solved,683.0,683.0,0.0,22.34375,5670,,11,12,83
synth_10,nosbs-auto,wct,solved,682.9999967860928,682.9999967861,0.0,145.0625,222863,,11,12,83
synth_10,nosbs-off,wct,solved,682.9999967860928,682.9999967861,0.0,147.328125,222863,,11,12,83
synth_11,dfa,wct,solved,617.0,617.0,0.0,5.203125,1481,,11,12,83
