instance_name,config,objective,status,obj,best_bound,gap_pct,time,n_nodes,lp_bound,root_relax,n_sbs_rows,deadline,n_ops,n_dfa_states,n_dfa_arcs
synth_01,dfa,wct,solved,135.0,135.0,0.0,0.328125,1,98.0,98.0,,,7,8,38
synth_01,pairwise,wct,solved,135.0,135.0,0.0,0.34375,1,98.00000000000003,98.0,108,,7,8,38
synth_01,nosbs-off,wct,solved,135.0,135.0,0.0,0.234375,477,98.0,98.0,,,7,8,38
synth_03,dfa,wct,solved,563.0,563.0,0.0,1.140625,736,335.0,335.0,,,8,9,50
synth_03,pairwise,wct,solved,563.0,563.0,0.0,0.984375,987,335.0,335.0,154,,8,9,50
synth_03,nosbs-off,wct,solved,563.0,563.0,0.0,2.75,6205,335.0,335.0,,,8,9,50
synth_05,dfa,wct,solved,448.0,448.0,0.0,16.703125,3735,303.0,303.0,,,11,12,86
synth_05,pairwise,wct,solved,448.0,448.0,0.0,15.296875,5563,303.0,303.0,460,,11,12,86
synth_05,nosbs-off,wct,solved,447.99999327999984,447.99999328,0.0,150.875,250003,303.00000000000006,303.0,,,11,12,86
synth_11,dfa,wct,solved,617.0,617.0,0.0,9.203125,2684,484.0,484.0,,,11,12,83
synth_11,pairwise,wct,solved,617.0,617.0,0.0,4.125,2306,484.0000000000001,484.0,490,,11,12,83
synth_11,nosbs-off,wct,solved,616.9999522564087,616.9999522564,0.0,23.859375,46519,484.0,484.0,,,11,12,83
synth_08,dfa,wct,solved,614.0,614.0,0.0,117.65625,30752,405.0,405.0,,,12,13,104
synth_08,pairwise,wct,solved,614.0,614.0,0.0,100.046875,41188,405.0,405.0,572,,12,13,104
synth_08,nosbs-off,wct,limit,613.9999838634049,539.3333333333,12.1607,598.8125,687750,404.99999999999994,405.0,,,12,13,104
synth_09,dfa,wct,solved,804.0,804.0,0.0,40.3125,9577,570.0000000000001,570.0,,,12,13,99
synth_09,pairwise,wct,solved,804.0,804.0,0.0,23.28125,8667,570.0,570.0,627,,12,13,99
synth_09,nosbs-off,wct,limit,803.9999958257919,715.2048190511,11.0442,598.875,901288,570.0,570.0,,,12,13,99
synth_13,dfa,wct,solved,544.0,544.0,0.0,74.40625,13060,427.0,427.0,,,14,15,129
synth_13,pairwise,wct,solved,544.0,543.9980428189,0.00039999999999999996,84.921875,22993,427.0,427.0,1053,,14,15,129
synth_13,nosbs-off,wct,limit,543.9999901453297,442.0,18.75,598.171875,524682,427.0,427.0,,,14,15,129
synth_18,dfa,wct,solved,976.0,976.0,0.0,226.390625,38544,695.9999999999984,696.0,,,14,15,129
synth_18,pairwise,wct,solved,976.0,976.0,0.0,211.65625,54138,695.9999999999999,696.0,1053,,14,15,129
synth_18,nosbs-off,wct,limit,975.9999786099993,780.0,20.082,596.828125,651110,696.0,696.0,,,14,15,129
